index,282_1_www.ing-diba.de,282_2_www.ing-diba.de,282_3_www.ing-diba.de,282_4_www.ing-diba.de,282_5_www.ing-diba.de,282_6_www.ing-diba.de,282_7_www.ing-diba.de,282_8_www.ing-diba.de,282_9_www.ing-diba.de,282_10_www.ing-diba.de,283_1_www.ing-diba.de,283_2_www.ing-diba.de,283_3_www.ing-diba.de,283_4_www.ing-diba.de,283_5_www.ing-diba.de,283_6_www.ing-diba.de,283_7_www.ing-diba.de,283_8_www.ing-diba.de,283_9_www.ing-diba.de,283_10_www.ing-diba.de,284_1_www.ing-diba.de,284_2_www.ing-diba.de,284_3_www.ing-diba.de,284_4_www.ing-diba.de,284_5_www.ing-diba.de,284_6_www.ing-diba.de,284_7_www.ing-diba.de,284_8_www.ing-diba.de,284_9_www.ing-diba.de,284_10_www.ing-diba.de,285_1_www.ing-diba.de,285_2_www.ing-diba.de,285_3_www.ing-diba.de,285_4_www.ing-diba.de,285_5_www.ing-diba.de,285_6_www.ing-diba.de,285_7_www.ing-diba.de,285_8_www.ing-diba.de,285_9_www.ing-diba.de,285_10_www.ing-diba.de
11,29942.00000000003,58334.4,47986.79999999987,26318.0,58415.8,92713.6,27132.8,32388.600000000002,32883.2,67184.2,56419.4,32132.0,33635.4,56772.200000000004,34476.2,34028.0,34230.59999999999,33279.0,36373.0,31018.800000000017,20658.000000000022,24505.0,22730.8,30365.600000000002,22588.8,24808.0,23086.399999999998,24854.0,24735.2,24363.0,24937.599999999995,25528.0,66835.39999999985,24844.200000000008,31062.000000000004,32393.000000000004,42487.00000000008,56487.40000000001,25121.799999999996,51787.0
12,59257.8,77301.12,58254.36,59784.0,73030.94,141008.32,36404.19999999997,58968.64,59182.28,83466.04,56288.96,34200.5,57678.86,56649.68,40227.28,58654.40000000001,57176.22,35544.99999999998,56863.799999999996,52639.24,23269.28,24693.0,24865.88,32359.12,24761.32,24972.3,24785.16,24863.52,42438.96,41977.6,32143.160000000054,25552.999999999996,91875.62,58616.899999999994,32652.32,32681.639999999996,88137.96,93973.84,33043.95999999998,87352.2
13,75677.76,93342.79999999999,75697.2,60608.0,89029.76000000001,224521.12000000017,59393.719999999994,62528.840000000004,75599.92,123715.31999999988,62062.96,39779.0,55783.95999999999,64134.92,50921.19999999997,56516.200000000004,57377.24,57027.200000000004,58273.800000000025,52888.08,24472.92000000001,42482.0,24551.96,32464.56,24419.56,42808.0,24518.76,25054.44,45474.40000000004,42212.12,72128.08,39581.400000000016,90198.83999999998,70936.87999999983,32362.920000000002,47301.079999999994,91516.04,90743.76,81500.44000000009,86747.59999999993
14,77400.68,156436.7599999999,91634.32,105118.0,107854.23999999999,285514.60000000003,60767.7,92989.31999999999,77490.59999999999,172578.83999999973,67743.8,48370.0,58489.86,70057.34,64888.44,56645.8,59843.80000000002,57344.8,60442.20000000004,55932.08,24741.239999999998,41858.0,24820.12,50104.44,25835.200000000004,42193.9,24749.34,42851.1,51538.88000000002,43573.36,70598.42,64979.4,93148.15999999997,90265.58,67900.84,73496.94,97351.36,92637.04,87888.78,92282.6
15,95329.64,228935.91999999995,148326.96000000002,147607.0,133567.4,298216.12,95663.72,115465.68,110799.32000000004,284508.6,72929.28,65033.0,64067.36000000001,73541.96,64687.240000000005,60421.2,66283.88,60106.79999999996,64661.99999999999,61262.120000000046,24735.480000000003,45784.0,42650.6,52578.92,42428.68,58034.2,42616.2,48832.519999999975,51843.72,59344.24,92079.28,63404.2,99142.16,90140.08,95849.12,71778.24,95701.28,117607.12,86810.92000000001,96299.6
16,156190.59999999992,284462.5,257321.99999999997,182779.0,166270.90000000002,342754.20000000007,105374.4,172481.4,190048.40000000008,308648.5,75037.8,64871.5,70092.19999999997,76933.40000000001,72897.8,63130.0,67683.2,64116.5,70610.0,65204.20000000004,42917.0,59392.0,42138.6,93565.5999999999,41892.6,66991.0,42104.2,106605.30000000005,92865.4000000001,112983.5999999999,96825.40000000001,88094.0,100810.8,94446.1,98806.8,95143.2,98077.3,121680.40000000001,92798.3,98681.0
17,225265.63999999996,300548.6,295751.2,238740.0,229249.43999999997,426727.0800000002,175922.56,207685.68000000002,265289.92000000004,374494.51999999996,96659.87999999992,68138.0,69982.52,75657.20000000001,78025.92,71037.59999999999,73236.72,67732.8,69407.4,71166.32,42406.6,104193.0,65633.31999999998,126754.56,45806.56,80696.6,48260.96,108670.92,122459.16000000002,136121.52,98866.24,91193.20000000001,135153.12,98402.56,103182.96,99117.04,115431.8,156269.44000000015,97040.16,111155.5999999999
18,285975.56,368106.95999999996,300379.2,284878.0,269963.83999999985,495057.24,239655.56000000003,278374.3600000002,284319.2,426735.59999999986,109691.96000000002,72310.5,75381.46,113347.94,83575.16,77055.09999999999,74479.14,77100.9,72119.2,125050.76000000013,41905.119999999995,138415.0,86424.36,195804.52000000002,49875.16,129614.5000000001,62776.46,142532.12,165718.48,184678.0800000001,101185.35999999999,95213.6,169478.16,98889.31999999999,103972.67999999998,107476.62,123896.02,202837.2799999999,99101.94,133343.2
19,295870.16,463595.36000000004,350028.36,304112.0,329737.68000000005,506047.96,291294.8,295582.4,289398.0,469293.99999999977,147221.56,81678.0,73006.64,148218.08,85375.56,75786.2,77678.04,77679.4,77563.2,141644.24,44854.240000000034,181100.0,121494.96,263467.64,67584.43999999996,174195.8,64883.68,149442.68000000002,209195.88000000006,235235.52,154754.4,99597.6,200945.24,102733.11999999991,134072.47999999995,106104.16,124259.51999999999,264555.52000000014,101230.76,165757.59999999998
20,300140.8,505968.64,378339.24,401069.0,382335.12,509058.96,301270.64,329522.96000000014,349636.04,514921.68,164197.08,81156.5,97803.27999999985,186823.55999999997,102667.59999999995,77803.1,82495.02,75453.1,78663.0,159311.16,45467.84,215187.0,130205.88000000006,329705.44,87488.12,215691.00000000006,106804.52,216361.19999999992,298058.76,276574.92,153998.94,98899.6,234678.95999999996,134021.66,148655.23999999982,107148.36000000002,148369.38000000006,269235.32,123310.84000000005,191719.40000000008
21,336271.2,507207.8,416797.7999999997,495598.0,415140.6,516475.8,361847.5999999999,380186.8,417630.6,518658.6,214606.7999999997,79776.0,150368.6,244347.1999999998,108960.6,114866.0,120234.2,79048.0,81469.0,161122.2,47104.6,282770.0,188579.40000000002,396114.8,127698.4000000001,261345.0,122266.80000000002,254854.6,367997.80000000005,310015.4,212087.19999999995,97789.0,276164.0,133753.80000000002,177920.6,108676.79999999999,156558.0,267162.6,135934.6,206247.0
22,402495.0399999999,517032.34,449677.16,506784.0,452057.08,523981.6,440988.08000000013,427906.00000000006,442668.28,526662.84,245140.39999999997,82651.5,179506.18,300273.36000000004,154239.19999999975,144516.5,157687.12000000005,101355.9,132175.40000000002,168558.16,64332.72000000015,349696.0,230912.9199999999,399447.28,179480.11999999994,287084.00000000006,152275.20000000013,287610.16,421922.96,373874.04000000004,218575.46,129532.6000000001,275740.72000000003,169262.16,176201.96,148723.74,156575.78,271085.76,147226.32000000004,239804.2
23,481804.87999999983,516126.6,490910.64,508986.0,477503.56,525723.4,497228.95999999996,451854.48,465091.96,532046.0,250961.48,85348.0,179194.19999999995,382537.84,213276.43999999992,177749.99999999994,190943.2,126269.99999999988,209047.60000000003,174341.52000000002,108733.08,399110.0,259017.32,429211.68,215155.84,314860.4,175614.56,306685.7200000001,428096.4000000001,410168.08,250975.40000000002,136119.60000000003,308456.48,201918.88,174740.40000000002,180197.47999999998,202034.96,272458.28,170740.52,272163.2
24,503644.39999999997,522623.6,505998.52,516702.0,482608.4,536040.04,508119.88,476784.32,495095.92000000004,547255.38,301269.19999999995,113276.0,204930.71999999997,438440.98,270861.8399999999,227817.4,225334.80000000005,164991.4,278763.60000000003,220684.88000000006,159502.92,419430.0,310759.95999999996,431066.4,254385.80000000008,358606.2000000002,219931.7200000001,324435.82,430202.44,428031.39999999997,280017.02,174316.59999999995,334635.30000000005,236570.86,207863.91999999998,199878.03999999998,202430.80000000005,318078.4400000002,199681.18,280134.99999999994
25,507819.88,539871.12,511828.92,518076.0,505726.4,545300.9600000001,509406.24,495471.52,498175.88,562242.2,322127.80000000005,131273.0,260919.71999999997,503838.7200000003,352841.07999999996,295215.4,260972.72,187538.40000000002,338746.2,316547.64,174539.96000000002,429081.0,360699.28,441213.72,308600.12,409781.2000000001,269925.68000000005,376492.2399999999,433142.08,428773.36,288514.84,201256.6,384609.79999999993,269478.3199999999,240778.16,220155.36,234408.04,333982.44,223985.08000000005,326502.7999999999
26,509774.0,547886.0,516458.0,522267.0,515381.0,590900.0,517464.5,507335.0,496864.0,604027.0,368245.0,189342.5,334195.0,569966.5,415255.0,318461.9999999996,321972.0,194907.49999999983,393122.0,388660.00000000047,208637.0000000002,428670.0,362203.0,440930.0,391035.0,418986.0,319708.00000000023,404039.0,435017.0,428370.0,294458.5,198370.0,422276.0,285883.0,281143.0,263126.0,270723.5,336409.0,242502.0,349484.0
27,515793.12,590671.96,525228.76,540460.0,516594.88,602075.12,519122.28,509333.32,504831.52,622660.72,444380.99999999994,217596.0,377333.12000000005,588316.6,494215.32000000007,340575.0,424071.8000000005,241356.5999999999,442375.4,482797.2799999999,242825.04000000004,433464.0,395018.92,442744.44,421372.2,429419.4,352444.63999999996,423376.2,438318.20000000007,433248.72000000003,344042.39999999997,254175.20000000027,488954.63999999996,285714.92,296268.56,283145.76,295440.88000000006,350935.4,288440.8,381355.19999999995
28,517316.24,608554.04,553903.96,570787.0,554886.14,621873.92,520226.74,514860.96,515381.44,629721.82,514032.9199999999,238596.0,449769.92000000004,643747.36,561584.52,385014.9999999998,491730.7600000006,286327.19999999995,530237.4,548576.7600000001,274163.56000000006,434807.0,417486.12,449061.2,424785.80000000005,429421.2,401294.2800000004,428278.83999999997,442763.84,435016.28,359261.7,275370.0,557264.54,311998.6,319969.95999999996,293167.06,293721.4,352023.88,335660.1,406309.39999999985
29,524256.39999999997,622485.76,555511.16,590803.0,556222.8,624963.88,523390.12,521560.2,516564.24000000005,635268.92,584779.2,295439.0,535721.4400000001,700323.04,585214.9600000001,460179.59999999945,555467.28,350699.6,589351.0,569257.2000000003,312228.5200000001,441432.0,423878.0,451061.16000000003,430130.04,430153.0,422693.48,433726.16,446291.8,441247.08,380508.0000000001,304357.19999999995,579277.84,368949.55999999976,354646.48,308946.39999999997,312538.84,358594.32000000007,341561.4,490621.99999999977
30,532648.84,629521.22,563660.9999999999,601672.0,575854.82,629000.36,534491.94,529043.16,544053.24,642910.7199999999,639720.7999999999,324793.0,575470.9599999998,733918.5399999999,593387.6399999998,568829.1999999996,576024.16,400131.9999999999,639132.8,583826.6,344185.0000000001,442762.0,428361.6,479918.96,430269.16,433842.8,422808.92,435208.18,509742.36,442500.88,429729.7,337735.60000000003,599046.08,416078.81999999995,387484.39999999997,325789.55999999994,335939.84,404258.84,360954.7,535852.4
31,544418.0,634362.2000000001,575775.0,605082.0,589424.6,632367.6,565146.0,554045.2,549610.0,676855.3999999999,721701.3999999996,383822.0,602304.7999999998,782761.2,642880.7999999997,589347.0,594843.6000000001,473731.0,671801.0,605167.8000000002,364501.20000000007,445338.0,428600.4,541179.5999999999,433228.2,435626.0,422831.6,436427.0,566237.0,444311.2,502617.80000000016,343339.0,650935.7999999997,449796.4,438888.0,361479.5999999999,365884.00000000006,469571.2000000002,373233.0,598952.0
32,570791.4,636480.98,590864.4,609672.0,595142.1,636860.84,571990.94,555732.68,559473.72,748188.18,782004.28,429672.0,643281.84,787752.32,679240.9599999998,612241.6,651368.24,564362.3999999999,733816.4000000006,680190.4400000001,393797.0000000001,475120.0,433456.84,575257.4,434839.44,441909.8,424585.06,441789.22,583166.16,447408.04,547374.38,342804.0,688564.76,482425.79999999993,453569.24,415423.5200000002,388349.16,518861.24000000034,383125.48,609709.0
33,591768.6,640298.44,603192.24,612848.0,601738.52,658773.1200000001,587824.24,581861.6,581800.64,753342.9599999997,795304.72,459992.0,673982.48,807542.76,712908.32,636171.2,686170.28,581372.2,799930.0,742960.4400000001,399369.9600000001,520864.0,433408.56,592159.76,436225.8,443117.8,431113.12,442442.76,610503.8,450336.68,593015.28,361347.60000000003,713351.72,519497.5999999999,488340.7999999999,456693.52,431742.96000000014,572000.4,409344.36000000004,648203.1999999998
34,602704.5199999999,644237.78,604385.76,630671.0,637113.6,745295.68,599961.04,590892.12,591057.96,771525.98,810028.9599999998,525853.0,723601.5599999999,859222.7000000001,764389.5599999999,662826.7999999999,716321.3200000001,603260.9999999999,846330.3999999999,806190.88,422545.60000000003,565282.0,435079.44,610187.36,441427.72000000003,468509.2000000002,432501.94,464708.08000000013,656934.72,459797.07999999996,603928.88,391419.0,756774.8399999999,575224.1,526194.64,525064.0399999996,474098.54000000044,585725.68,466888.4800000002,726236.0000000001
35,603458.04,644161.0,611290.68,649292.0,692303.1999999996,768789.56,604832.88,602120.04,592659.04,770276.7599999999,880087.68,572239.0,783188.4,920857.2,804341.6,727079.1999999997,748140.36,675004.7999999992,899560.8000000003,856952.8000000002,430160.4000000001,578782.0,438187.6,626679.28,442233.64,505707.80000000005,431848.68,538268.84,708973.1200000001,481537.2,632472.16,430508.0,781328.56,594347.5999999996,578000.6,566138.68,526150.52,619736.12,534812.16,761346.2
36,608829.6,688729.1999999998,614989.5999999999,703347.0,711157.9,770928.2,606459.5,603904.8,598281.2,772960.1,920441.7999999998,593963.0,810058.8,943901.0000000001,855312.7999999999,784408.0,780063.3,747169.5,935862.0,906268.8,433556.2,601339.0,441786.19999999995,664373.4,447911.2,551565.0,457580.80000000005,572536.0,772298.8000000004,554002.4000000001,667051.0000000001,468061.0,810203.7999999999,612318.2,607431.4,587164.6,582018.4,683885.2000000001,577783.9,809170.0
37,610567.96,740791.0,710039.9199999997,756637.0,713734.6000000001,769412.4400000001,610184.16,609398.16,599602.72,783298.12,934621.52,608673.0,809671.6000000001,956119.68,897896.12,812080.4,809660.88,794781.7999999999,940558.7999999999,929272.68,433548.72000000003,623876.0,442651.92,685128.12,454590.2,573046.8,492683.5200000001,612007.52,783230.36,575208.12,708181.3999999999,522954.7999999999,826181.72,633060.1199999999,643655.32,605927.48,606547.5599999999,718971.2800000003,601682.48,820413.9999999999
38,613196.3599999999,761535.78,714299.76,761049.0,733012.84,771660.3200000001,629619.34,610845.0,601459.28,786948.7,979992.68,647054.5,829999.2,991634.62,941759.76,812530.5,869239.14,814022.1,980643.2,949769.2,435260.52,638018.0,444496.64,707176.28,474138.95999999996,603014.4,524589.22,648793.4400000001,782679.68,593465.08,764792.48,573713.0000000001,829293.08,656528.0399999999,670890.7999999999,622241.44,637976.92,762068.9600000001,634471.3199999998,838216.0
39,629668.28,762942.04,732185.32,763925.0,749079.84,777806.68,631510.36,638056.6000000001,621154.72,802596.04,990696.44,724041.0,849212.7999999999,1004177.44,983595.56,828977.9999999999,919636.6800000002,829741.9999999999,991649.0,955785.64,435413.80000000005,673558.0,447787.44,749725.72,517412.56,640967.8000000002,553698.5600000003,676725.3599999999,808391.24,616893.88,823894.4,598565.6000000001,828873.08,684848.2399999999,692050.5599999999,684504.2800000001,694664.1200000001,798222.44,694815.8800000001,855409.2000000001
40,654801.24,766337.58,759549.96,765761.0,752811.06,795801.16,654919.76,682911.4,656045.68,806224.14,997308.76,785473.5,870282.3999999999,1005520.64,991507.5999999999,849056.9999999999,973894.52,854509.4999999998,998881.4,985636.12,441428.48,694312.0,448292.56,789643.68,563951.2400000001,686846.4,562361.1,704513.24,824512.24,649068.76,830082.6,614112.6000000001,887481.6799999997,741665.6599999998,722417.6799999999,742750.4999999999,749740.4,840224.3200000002,734167.12,898439.0
41,685151.0000000001,774526.4,761769.2,766997.0,763155.4,797322.6,714621.9999999999,712660.8,729250.8,806508.9999999999,998508.2,819470.0,889138.0,1023283.8,998877.0,867157.0,976802.6,903263.0,999704.0,992083.4,443042.8,741911.0,452323.2,791475.4,582487.2000000001,741759.0,565068.6000000001,738313.2,823783.2,676013.3999999999,868138.6,636866.0,941433.1999999995,790148.7999999996,764396.9999999995,784506.8,806649.8000000002,893145.4000000003,787302.4,924352.0
42,739905.08,787727.78,762900.4,763201.0,763622.02,799417.2000000001,760012.46,714675.88,750030.56,814388.52,1014970.96,835047.5,906337.0,1032578.3,1009768.6,920853.5,982198.08,923113.0,1017344.8,993276.88,457531.76000000007,765171.0,462417.56,794318.96,609592.8000000002,782446.8,567055.92,772445.1599999998,825595.04,735131.12,889047.52,671622.6,976815.82,797375.26,803765.0799999995,802181.34,865954.28,930192.1600000001,822059.4,971461.7999999997
43,759097.48,791586.16,766671.44,775063.0,774254.6000000001,810881.44,761783.76,734904.2000000001,751269.28,823051.32,1028256.8799999998,884205.0,967082.48,1036859.96,1029241.96,929624.7999999999,996497.84,955189.0,1026841.6,992657.8,485815.9200000003,781354.0,481379.5999999999,827253.8,669232.76,783810.0,586471.16,782045.12,839168.12,789533.76,925882.1200000001,721780.6000000002,1040488.52,832962.9199999998,828086.16,840423.28,892080.64,972804.24,827141.72,1031535.6
44,762304.76,790274.96,769037.76,788766.0,777780.56,812131.04,763895.96,760287.56,754689.32,824303.74,1032908.9600000001,915529.5,980986.62,1041139.5,1031123.56,990704.7000000001,1000083.8,992224.9,1031767.2,1010919.2,536299.2000000002,783550.0,503359.4,834259.52,701045.16,784819.0,634352.4000000001,783346.22,839716.48,790901.6,964198.6,770693.2000000002,1090085.1599999992,881320.3999999999,869079.9199999996,891477.76,923893.4800000002,1029827.2400000001,873377.1799999999,1070101.8
45,762898.44,797598.64,774176.64,801743.0,785141.7999999999,816033.8,763260.0800000001,761868.72,756959.8400000001,823892.88,1035195.36,941439.0,994318.3999999999,1051495.64,1038748.56,991891.8,999619.16,998626.7999999999,1044044.0,1020430.88,555345.76,788614.0,532487.88,845661.2,742733.68,807344.0000000001,677506.5200000001,800248.1200000001,841127.2,790334.84,1027529.0000000001,816048.0000000001,1169143.8,935969.24,926008.5999999996,949859.5599999998,946582.76,1049889.4000000001,916338.4799999997,1159785.4
46,761356.4,805689.3999999999,783687.3999999998,802854.0,787976.6,815537.0000000001,762982.9,766116.0,759804.6,826940.8,1034423.6,949208.5,999018.9,1069609.2,1039519.6,999001.5,1016914.8,1000452.0,1042670.0,1036055.0,565119.0000000002,791888.0,559080.0,845063.8,761883.2,825437.5,720315.2000000001,825227.5,841499.2,799038.8,1044865.5999999999,821485.0,1179802.1,986010.4,985047.7999999999,990197.4,995979.6000000002,1103366.4000000001,946181.7000000002,1171285.0
47,762840.56,810812.28,788100.36,804004.0,788586.28,824312.48,763629.52,765432.32,757740.4,830605.72,1040746.36,957780.0,1000441.28,1070584.76,1040979.44,1000570.6,1027017.28,1000302.8,1039209.4,1037467.56,582336.8400000001,826201.0,579284.4,858361.2,778010.7200000001,825260.0,757139.72,825085.12,858038.96,810215.5999999999,1075193.16,852027.2,1179375.6,1020253.64,1041031.7200000001,1013115.72,1009851.2000000001,1170792.1200000006,1002269.6000000001,1176073.0
48,764318.92,812405.38,788688.04,805388.0,792988.3,824609.04,765817.2,766998.76,760298.4,845234.02,1044285.8799999992,999410.0,1001501.34,1074257.52,1051903.72,1014103.1999999998,1028082.74,1019297.2,1043797.8,1041222.5200000003,588494.2000000001,829140.0,617733.52,860501.84,782796.24,827729.8,781716.26,826614.12,859338.4,834572.28,1139708.74,890675.4,1199176.64,1042767.4799999999,1070916.7999999996,1036034.04,1039218.48,1179257.32,1032847.5199999999,1197126.0
49,768307.12,815949.6,791846.84,808904.0,792675.28,830562.16,775467.4400000002,772494.68,761862.68,847594.68,1069306.96,1002545.0,1018844.96,1074778.68,1069114.76,1025429.2,1029255.92,1029378.7999999998,1061145.8,1051306.24,615499.92,839915.0,655303.4,869269.2000000001,783528.16,849784.2,783314.6,828714.6799999999,860484.8000000002,835577.4,1169737.24,910764.6000000001,1204913.48,1090399.6399999997,1144157.8800000001,1049723.8,1068337.72,1183914.84,1065789.96,1204274.2
50,774255.2,815577.42,793376.92,810664.0,796244.24,843096.96,783100.9000000001,778941.88,762606.8,851852.34,1069101.52,1011096.5,1018320.76,1074563.16,1069087.88,1030522.7,1031496.0000000005,1031997.1,1063097.0,1051213.12,652518.2800000001,844588.0,679368.4799999997,870334.24,786653.96,858726.8,783020.46,837566.94,865663.2,842507.32,1170632.66,970087.2,1219872.6,1149571.0,1178128.72,1108757.7599999998,1116063.7600000002,1210595.2,1105321.5600000003,1207018.0
